商品ID,卖家ID,订单ID,客户ID,订单状态,下单时间,订单审核时间,发货时间,客户收货时间,预计送达时间,客户唯一ID,客户邮编前缀,客户城市,客户州,评论ID,评分,评论标题,评论内容,评论创建日期,评论回复时间,支付顺序号,支付类型,分期数,支付金额,订单项ID,商品价格,运费,卖家邮编前缀,卖家城市,卖家州,商品类别,商品名长度,商品描述长度,商品图片数量,商品重量(g),商品长度(cm),商品高度(cm),商品宽度(cm)
01cb96c64e8e35f29826a58963f6ecc5,8d899e15a5925f097cca50faa49b15e3,a4a234174a4aa5d0d13f339d9308c4ec,aa14097868008504a3c5304dbbd71f9c,delivered,2018-08-17 12:58:00,2018-08-17 14:27:18,2018-08-20 14:11:00,2018-08-27 17:34:00,2018-09-21 00:00:00,1eab1aa8050d859f30b03df0f9b01f9a,45590,dario meira,BA,e25fd95ebfd0f1e20bc5fd151efa6654,5,Ótima loja,"a luminária é linda, chegou muito bem embalada e bem antes do prazo previsto",2018-08-28 00:00:00,2018-08-28 20:50:29,1.0,debit_card,1.0,163.06,1,99.0,64.06,18131,sao roque,SP,construcao_ferramentas_iluminacao,39.0,990.0,2.0,7100.0,43.0,23.0,43.0
01d4157fd9738ea81038316ae4cfc192,7ad32824caee82087b3e2e5f33b1bf32,484bc55c468ac3e8d5ca1ab45b24ff99,3d06c5a21253c48236d840250d9f8a6c,delivered,2018-08-18 01:08:00,2018-08-18 01:29:45,2018-08-20 14:30:00,2018-08-25 01:14:00,2018-08-31 00:00:00,02a7760053385280fc193a50d86f69d1,13575,sao carlos,SP,9f2cf1a2724a39a89df3720478a25881,3,Jogo de lençol,"O anúncio deixou de trazer informação sobre o tecido, dando a impressão de que era 100% algodão, por se tratar de percal. Na realidade, era somente 80% algodão. Também não dizia de quantas peças era.",2018-08-25 00:00:00,2018-08-26 02:53:09,1.0,credit_card,7.0,139.94,1,56.0,13.97,14940,ibitinga,SP,cama_mesa_banho,52.0,228.0,1.0,355.0,34.0,21.0,40.0
020a80cb704bf65f38761fcedf2af192,ef2fbc2b607d8492bcffe657a4645434,5ce6115708c300fbcc79f7886d0163ec,4e32ac19f4d82eb93a61b07b37c24eac,delivered,2018-08-10 15:55:00,2018-08-10 16:05:17,2018-08-13 14:43:00,2018-08-17 16:04:00,2018-08-28 00:00:00,340dadff945403735c1e1194312527b8,3659,sao paulo,SP,79ea3c372879e4364d9f38072f813288,4,A loja é otíma,O produto não me parece muito bom mais a loja eu recomendo,2018-08-18 00:00:00,2018-08-19 14:32:31,1.0,credit_card,1.0,132.88,2,49.9,16.54,20051,rio de janeiro,RJ,automotivo,35.0,1512.0,3.0,800.0,26.0,9.0,24.0
02335f37af17baf50a91273e4bdc8ef4,cecd97bc34ed8330bd4cd15713eda670,814823738ce02d399f917f00e77393d5,5be55e6c0084aa1937b6a7e207abef2d,delivered,2018-08-13 17:09:00,2018-08-13 17:24:22,2018-08-15 13:05:00,2018-08-20 20:28:00,2018-08-29 00:00:00,c864fe0c9f4b9010508388922c2b21ae,4516,sao paulo,SP,714a149c99fc2591ded13a91bc8a7c9d,1,Ruim,Comprei um produto e recebi outro,2018-08-21 00:00:00,2018-08-22 01:28:16,1.0,credit_card,4.0,76.5,1,57.99,18.51,89819,cordilheira alta,SC,brinquedos,27.0,791.0,1.0,450.0,29.0,16.0,11.0
0271c9f7fe6a29e563ddb672cdcc2968,c9aafcd0621b2207c10e32c649cada4d,162cf02f9877cddb71e0bb217b585128,85c91511ec9c1b687e1c41fddf3ed4c9,delivered,2018-08-02 21:00:00,2018-08-03 08:15:29,2018-08-03 16:04:00,2018-08-20 19:32:00,2018-09-10 00:00:00,e5c15c419e8e41f53d9597a5a61407b2,47850,luis eduardo magalhaes,BA,fa18ec9c504a7afadd7a76dd576693e4,4,Otímo,Adorei a cauterização da trivitt quero pra vida inteira😍😍,2018-08-21 00:00:00,2018-08-22 00:27:30,1.0,credit_card,3.0,70.27,1,48.0,22.27,8011,sao paulo,SP,beleza_saude,39.0,588.0,1.0,400.0,18.0,18.0,17.0
027cdd14a677a5834bc67a9789db5021,81f89e42267213cb94da7ddc301651da,6265e86b71fc209d82742bcfebe33046,cb1a900268da8bd68454273b2ddddf4e,delivered,2018-08-15 12:25:00,2018-08-15 12:44:12,2018-08-16 13:56:00,2018-08-20 17:35:00,2018-08-27 00:00:00,f84091bcef4578cc81f75b3a3149ce76,13800,mogi mirim,SP,11e5e3a223de22712cfd6141cffb4d05,5,*****,"satisfeita com produto eu já conhecia quando vi baratheon por esse valor corri comprar ,recomendo a todas mulheres , o perfume é suave, bom é bem de meu gosto, permanece no corpo por bom tempo, espet ",2018-08-21 00:00:00,2018-08-22 11:55:17,1.0,debit_card,1.0,77.11,1,64.0,13.11,19063,presidente prudente,SP,perfumaria,42.0,544.0,1.0,341.0,20.0,18.0,16.0
027cdd14a677a5834bc67a9789db5021,81f89e42267213cb94da7ddc301651da,c52af89e91822e0fe67fab5eca3f2c5f,80d2dfca15a87fe59c2fafc53f1a7ffb,delivered,2018-08-15 13:10:00,2018-08-15 14:05:23,2018-08-16 12:33:00,2018-08-20 19:29:00,2018-08-28 00:00:00,1ad3add9a8c3adfbaadf8d4d63925a94,9530,sao caetano do sul,SP,f5b499bc0c2a3c421d310163faed7421,5,Recomendo,Sempre comprei e fui muito bem atendido.,2018-08-21 00:00:00,2018-08-22 11:14:41,1.0,credit_card,3.0,77.11,1,64.0,13.11,19063,presidente prudente,SP,perfumaria,42.0,544.0,1.0,341.0,20.0,18.0,16.0
027cdd14a677a5834bc67a9789db5021,81f89e42267213cb94da7ddc301651da,672222c1e1bc8818069538d8c8c046a9,ac8cbf914049a7b20272a10f768ba6dd,delivered,2018-08-23 08:18:00,2018-08-24 03:24:24,2018-08-24 14:10:00,2018-08-27 14:32:00,2018-09-06 00:00:00,91352e06066eef42b60b24049ccde4fd,1011,sao paulo,SP,50c40fcc75236cfabb471aa31b295882,5,recomendo,não gostei da embalagem. Achei que fosse a mesma do site!,2018-08-28 00:00:00,2018-08-28 18:03:05,1.0,boleto,1.0,82.14,1,69.0,13.14,19063,presidente prudente,SP,perfumaria,42.0,544.0,1.0,341.0,20.0,18.0,16.0
027cdd14a677a5834bc67a9789db5021,81f89e42267213cb94da7ddc301651da,593608ed6695aef889973ce8a45506b4,f9a0b9c3252efbe163954fcec5f0146a,delivered,2018-08-15 17:29:00,2018-08-15 17:44:18,2018-08-16 12:28:00,2018-08-20 18:38:00,2018-08-28 00:00:00,5ca257126b5a58068a2ad97b6133a28f,31980,belo horizonte,MG,7e0634ade1c87d96c85c2af420210ae6,5,Nita 10,Eu recome6 este site,2018-08-21 00:00:00,2018-08-22 22:42:36,1.0,credit_card,4.0,82.55,1,64.0,18.55,19063,presidente prudente,SP,perfumaria,42.0,544.0,1.0,341.0,20.0,18.0,16.0
027cdd14a677a5834bc67a9789db5021,81f89e42267213cb94da7ddc301651da,96519c210f6dfe22f8e85cad134443ae,a7970e9bcf747a903cb55978d562af76,delivered,2018-08-23 11:07:00,2018-08-23 11:30:30,2018-08-24 14:10:00,2018-08-27 18:38:00,2018-09-05 00:00:00,f76b64c64d5c95d10ec203542b2f827c,12502,guaratingueta,SP,bebd4163cda80bccc650b0467a42199c,1,nao recomendo,comprei dois perfumes sendo que só veio um na caixa e pra ajudar o perfume e falsificado e marcado na caixa venda proibida que e só pra teste,2018-08-28 00:00:00,2018-08-29 11:12:56,1.0,credit_card,4.0,164.28,2,69.0,13.14,19063,presidente prudente,SP,perfumaria,42.0,544.0,1.0,341.0,20.0,18.0,16.0
027cdd14a677a5834bc67a9789db5021,81f89e42267213cb94da7ddc301651da,91394832e2cfea6fd2da6fe1b72df4c9,2158a2e31d4465b16cec3d61354dee03,delivered,2018-08-14 13:36:00,2018-08-14 13:50:18,2018-08-15 14:19:00,2018-08-24 17:03:00,2018-09-17 00:00:00,6d44ca47f1c510df4438031a57fe30ea,95170,farroupilha,RS,2e236dc962faebc61a1b76ac8695b945,4,Ótimo!,"Produto de boa qualidade e chegou mais rápido que o esperado, super recomendo.",2018-08-25 00:00:00,2018-08-26 13:28:07,1.0,credit_card,6.0,82.55,1,64.0,18.55,19063,presidente prudente,SP,perfumaria,42.0,544.0,1.0,341.0,20.0,18.0,16.0
027cdd14a677a5834bc67a9789db5021,81f89e42267213cb94da7ddc301651da,d33001bff4242b0f9abf0eae4692fe54,3547ef8e58a470a7e294cc1f8f90e3db,delivered,2018-08-13 13:24:00,2018-08-13 14:04:14,2018-08-15 14:17:00,2018-08-20 18:42:00,2018-08-28 00:00:00,9ace74538dd1a190c2a4122a2e91c1a6,7151,guarulhos,SP,ae247e0d17a03dfd7d030e5488b64ddd,1,EMBALAGENS ,"A embalagem bem diferente do anunciado,sou acostumada a comprar esse produto nunca tinha recebido com essa embalagem.",2018-08-21 00:00:00,2018-08-21 23:39:45,1.0,credit_card,3.0,154.22,2,64.0,13.11,19063,presidente prudente,SP,perfumaria,42.0,544.0,1.0,341.0,20.0,18.0,16.0
027cdd14a677a5834bc67a9789db5021,81f89e42267213cb94da7ddc301651da,b39ecb6c0af8f006d1bf639d962fb92e,69c4e90b55da8af1ad71d4bb219e1268,delivered,2018-08-15 08:59:00,2018-08-15 09:10:12,2018-08-16 12:26:00,2018-08-20 19:13:00,2018-08-24 00:00:00,44240c92e496d412b4ca322348477275,18095,sorocaba,SP,d1eaa25699015750277cc1008a635015,3,Perfume original...,"Perfume original, boa fixação, porém a embalagem externa (caixa) é branca e tem apenas o nome do perfume e a escrita ""Tester"" ou seja é para mostruário de lojas, desagradável para presentear...",2018-08-21 00:00:00,2018-08-24 15:35:41,1.0,credit_card,4.0,77.11,1,64.0,13.11,19063,presidente prudente,SP,perfumaria,42.0,544.0,1.0,341.0,20.0,18.0,16.0
02851253400fd18410f8eb4369cff9e1,cb6c9f5888a7a090c75beaf615925792,2c6fdda09fe92a0d4909b941e62fd790,39330c89e6e537b6e6698d805576e36b,delivered,2018-08-13 21:26:00,2018-08-13 21:44:16,2018-08-15 15:01:00,2018-08-25 13:54:00,2018-09-12 00:00:00,fd622355712e8790014974678f0910ee,52051,recife,PE,4690abc42238ab911881ab9316768f1b,5,Ok,Tudo ocorreu bem e chegou antes do prazo.,2018-08-26 00:00:00,2018-08-26 17:19:54,1.0,credit_card,2.0,159.62,1,114.9,44.72,29100,vila velha,ES,ferramentas_jardim,52.0,289.0,1.0,3900.0,45.0,6.0,38.0
02ed3b595447e948efc3eac897e4df0e,640e21a7d01df7614a3b4923e990d40c,d224ba092ec1cb38bf389f3a5b727054,dc1fee26331f3efbe709e4cfdb064e30,delivered,2018-08-21 22:30:00,2018-08-21 22:44:20,2018-08-22 14:01:00,2018-08-29 14:41:00,2018-08-30 00:00:00,6b2d156cc732c2a9ff0ae48268cd7f2d,4855,sao paulo,SP,f3b5089f86bf7ad45f638318c3b12fec,5,Boa,"Gostei do produto , de boa qualidade...",2018-08-30 00:00:00,2018-08-31 16:52:09,1.0,credit_card,2.0,54.21,1,40.35,13.86,14940,ibitinga,SP,cama_mesa_banho,30.0,413.0,2.0,725.0,31.0,7.0,31.0
02fbee632a2044d48ab16d57eec4db58,4a3ca9315b744ce9f8e9374361493884,b2ac7b0754b724547abf07a172a45bf4,809ad2833c6b78506d5fc64546edc4cb,delivered,2018-08-02 15:12:00,2018-08-02 15:25:13,2018-08-03 06:25:00,2018-08-16 16:23:00,2018-08-14 00:00:00,f51f616a3ef1b481892426fb7c3f1f9e,4949,sao paulo,SP,1e972e14bb9d496fef92eddd3dce4cef,2,Não chegou ,Eu pedi dois kit e só chegou apenas um o outro não chegou ,2018-08-16 00:00:00,2018-08-16 12:47:29,1.0,credit_card,6.0,92.76,1,77.9,14.86,14940,ibitinga,SP,cama_mesa_banho,53.0,230.0,1.0,1017.0,39.0,15.0,34.0
0302c3fcf5e2d9526e243db50d30d5e3,6806dad1da97bfb5a9038eac6881f706,c3a071b5ca0f9c693c5276d4dcf7fdcf,2b7b9574c7e5ce266ee57ebd7a5ca094,delivered,2018-08-22 18:32:00,2018-08-22 18:45:09,2018-08-23 13:10:00,2018-08-27 14:58:00,2018-09-11 00:00:00,da24956ad4478166543db107847762f2,97900,cerro largo,RS,7459c2c58e75bb567ffe331be280c092,4,Envio rápido ,Muito bom o produto. Muito caro o frete.,2018-08-28 00:00:00,2018-08-29 02:28:50,1.0,credit_card,1.0,211.35,3,24.0,18.27,83280,guaratuba,PR,utilidades_domesticas,26.0,190.0,2.0,200.0,30.0,11.0,25.0
03078714f1e3f3758555f67ff35b4b01,594f9aaa48e5bf431f011ddc5669b0d5,3becf59664a588ac335a36f2a08e2d2b,2fef57f217a4ccfd0d8e3bfe20ed20d8,delivered,2018-08-03 07:43:00,2018-08-03 07:55:16,2018-08-03 17:43:00,2018-08-08 13:18:00,2018-08-20 00:00:00,d6f7809726f5602f3cfa13c9e0707f25,95700,bento goncalves,RS,ef5768b20e08efe5e3ccf46eac736022,4,Flavia,"Produto bom, entrega precisa!",2018-08-09 00:00:00,2018-08-10 00:58:04,1.0,credit_card,2.0,83.48,1,44.9,38.58,32185,contagem,MG,utilidades_domesticas,54.0,153.0,1.0,600.0,16.0,16.0,16.0
03078714f1e3f3758555f67ff35b4b01,594f9aaa48e5bf431f011ddc5669b0d5,11526907a9d9e94078d44fb1c4abb4ec,16c9179622cbd53ac83895bd09ea73c2,delivered,2018-08-08 00:56:00,2018-08-09 03:45:28,2018-08-09 20:33:00,2018-08-23 01:35:00,2018-08-20 00:00:00,b31e6fd7fed8e0d6715a7462820c716a,24900,marica,RJ,6737dd321f3984771942c36ea1683b47,5,Confiável ,"A entrega atrasou em apenas um dia. Devido à despachos aquém do horário para distribuição. Um dia não faz diferença alguma. A ""targaryen"" é parceira há tempos, e nunca tive problemas com a ""lannister"".",2018-08-23 00:00:00,2018-08-24 13:23:26,1.0,boleto,1.0,61.4,1,44.9,16.5,32185,contagem,MG,utilidades_domesticas,54.0,153.0,1.0,600.0,16.0,16.0,16.0
0366dd798c6de7ec8d16c23de6a82cfd,834f8533b2ecb6598dd004ff3de7203a,bfaea68f958681ec9d22aa2114b45721,1be55980a49eb83dda71ae61abe091a1,delivered,2018-08-06 11:26:00,2018-08-06 11:35:27,2018-08-06 16:04:00,2018-08-11 12:57:00,2018-08-21 00:00:00,b4be9c884923b47742c6ab3e866c1e30,21235,rio de janeiro,RJ,6aba6ff5d6b3f6762a2ad9a9f1fbdfcf,4,recomendo,Tudo rápido e eficiente.,2018-08-12 00:00:00,2018-08-14 12:49:30,1.0,credit_card,1.0,100.51,1,73.02,27.49,5181,sao paulo,SP,pet_shop,53.0,830.0,15.0,3500.0,39.0,20.0,46.0
036734b5a58d5d4f46b0616ddc047ced,ea8482cd71df3c1969d7b9473ff13abc,28b6917cb6d7f6fe0540986342ec6866,da60fc458fbb1d80edcd359e2116d015,delivered,2018-08-01 08:37:00,2018-08-01 08:50:14,2018-08-01 16:00:00,2018-08-07 19:48:00,2018-08-16 00:00:00,4487bcce4f8716df99ebe4fca473acc7,29311,cachoeiro de itapemirim,ES,a5d50d016d191a62ddf7f3aab54022f6,5,Muito boa compra,"Boa qualidade, chegou mais de uma semana antes do prazo, até agora não deu qualquer problema.",2018-08-08 00:00:00,2018-08-10 01:00:19,1.0,credit_card,1.0,56.36,1,37.99,18.37,4160,sao paulo,SP,telefonia,58.0,751.0,5.0,300.0,17.0,4.0,12.0
03ff4bf1cbb9b00aca270dac77757582,7e3f87d16fb353f408d467e74fbd8014,0b33796d2382e9a9fde619a584ba7216,68c54dbda8f6d832d974c45a869031c2,delivered,2018-08-26 11:59:00,2018-08-26 12:10:14,2018-08-27 14:56:00,2018-08-29 22:31:00,2018-09-05 00:00:00,4470a1898b6f224ba5065ee72a9b7900,14093,ribeirao preto,SP,c3986fafb58bb6d9cee9cf353de01acd,5,Super recomendo,"Ótima loja, ótimo produto.",2018-08-30 00:00:00,2018-08-31 20:08:13,1.0,credit_card,3.0,33.71,1,20.9,12.81,4809,sao paulo,SP,casa_construcao,57.0,159.0,5.0,250.0,16.0,4.0,14.0
046bb8477448980cb3355e0702e77a0e,ca4b77513ac2040591b0d8fae6958380,0f213d7015dad47737aecd4d7403f919,3b4f9ebb3e9698afde1d95156d5e3a92,delivered,2018-08-03 21:43:00,2018-08-03 21:55:23,2018-08-08 10:56:00,2018-08-25 00:05:00,2018-08-16 00:00:00,e791de1ba26a76b40c0e6e2e9a5eccae,79002,campo grande,MS,2a235d2fcf8fb7386a11bc5bec0b5922,1,PRODUTO NÃO ENTREGUE,"O PRODUTO CONSTA COMO ENTREGUE NO DIA 16-08, MAS HOJE DIA 20-08, O PRODUTO AINDA NÃO FOI ENTREGUE.",2018-08-18 00:00:00,2018-08-20 23:00:17,1.0,credit_card,8.0,194.09,1,175.06,19.03,9190,sando andre,SP,beleza_saude,42.0,1118.0,1.0,1500.0,19.0,29.0,18.0
0496f30fa502d5454825087842d7a497,768a86e36ad6aae3d03ee3c6433d61df,3a6a52cd14ff4ed808a62999c78f2226,22a0d3267eca495ae5c5ea5aea7cd2b9,delivered,2018-08-02 18:21:00,2018-08-02 18:35:10,2018-08-03 10:40:00,2018-08-04 17:11:00,2018-08-10 00:00:00,cc70a7c16df0bb4b2fa17403d4ec3769,13087,campinas,SP,e5c49fbc4340858dc2053fe9a43d3e8c,5,Super recomendado,Comprei na quinta final da tarde e chegou no sábado pela manhã! Produto melhor do que nas fotos,2018-08-05 00:00:00,2018-08-07 21:45:50,1.0,credit_card,1.0,45.53,1,38.0,7.53,1529,sao paulo,SP,brinquedos,31.0,182.0,1.0,250.0,16.0,19.0,19.0
04e90f954f5fde312ce378b26ddfad13,f76a3b1349b6df1ee875d1f3fa4340f0,83f897bfa5b1f95356e8c9a33679cb49,81ef50fbfd524d47bdf3346454a908af,delivered,2018-08-14 15:08:00,2018-08-14 17:30:14,2018-08-16 12:21:00,2018-08-17 15:34:00,2018-08-22 00:00:00,c0fb0ab0459711428c1447ec9f0c47d1,3604,sao paulo,SP,5fc24814be99e80023baebff0e4747c9,5,Compra e entrega rápida,Entrega dentro do prazo estabelecido. Produto em ótimas condições.Produto em si excelente!,2018-08-18 00:00:00,2018-08-20 19:45:14,1.0,boleto,1.0,206.14,1,179.9,26.24,3275,sao paulo,SP,utilidades_domesticas,58.0,1901.0,1.0,7600.0,49.0,40.0,40.0
052413504e5295cd66ec4ced0b310062,4869f7a5dfa277a7dca6462dcf3b52b2,1126e3a4ac41a7be5c3cc650d36ccc54,5f798676abe9fe538e2242c8c07ae325,delivered,2018-08-01 13:30:00,2018-08-01 13:44:21,2018-08-03 12:27:00,2018-08-08 19:08:00,2018-08-22 00:00:00,7236dee958fe8db7b71ae8858c07640e,23515,rio de janeiro,RJ,afbef7d05202865c6b8b3532514e90bf,5,Super indico,"Super recomendo, chegou antes do prazo estimado.",2018-08-09 00:00:00,2018-08-11 22:40:38,1.0,credit_card,7.0,169.05,1,149.9,19.15,14840,guariba,SP,relogios_presentes,55.0,570.0,1.0,165.0,16.0,10.0,12.0
052413504e5295cd66ec4ced0b310062,4869f7a5dfa277a7dca6462dcf3b52b2,e28a6e3aa7a161c1681ff579233321b8,26ea9638666b7ba410fb22400c5e7dd8,delivered,2018-08-02 12:06:00,2018-08-02 13:10:24,2018-08-03 12:27:00,2018-08-09 17:21:00,2018-08-20 00:00:00,578b6cae96786a167ce81b3d0b884be5,13630,pirassununga,SP,f2d00b0331c63cb6b4f4145a96f4a1bd,5,Relogio ,Relogio muito bonito e otima qualidade ,2018-08-10 00:00:00,2018-08-12 21:05:29,1.0,credit_card,3.0,163.61,1,149.9,13.71,14840,guariba,SP,relogios_presentes,55.0,570.0,1.0,165.0,16.0,10.0,12.0
